Residence type,Place of residence,Age,Profession,Level of education,Family type,Family having children,Head of the family,Monthly income,Monthly income percentage allocated for wife,First torture experience,First type of torture,Current form of abuse,Place of most abuse,Type of marriage,Spouse divorced before the current marriage,Duration of current marriage,Extramarital affairs?,Level of satisfaction with marital life,Spouse physically capable of having sex,Level of satisfaction with sexual relationship patterns,Do you want Bangladesh to pass male torture law?,Are you (male) a victim of domestic abuse by your wife?
suburban,Dhaka,33,Abroad,Postgraduate,Single family,married without children,1,25001-50000,11-30%,Between 2nd to 6th month of marriage,"Mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Husband previously divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are incapable,Fully satisfied,No,1
suburban,Barisal,43,Unemployed,Graduate,Joint family (with in-laws),married with children,0,0,0%,After 12 months of marriage,Verbal,"Physical, mental, verbal",In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Wife involved in adultery,Partially dissatisfied,Both are capable,Fully satisfied,Yes,0
rural,Chittagong,39,Businessman,Postgraduate,Single family,married without children,1,5001-10000,11-30%,Within 6 months to 12 months of marriage,Mental,"Physical, mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Husband involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,1
urban,Dhaka,21,Employed,Graduate,Joint family (with in-laws),married without children,1,5001-10000,11-30%,Within 6 months to 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
suburban,Dhaka,41,Businessman,Postgraduate,Joint family (without in-laws),married with children,1,5001-10000,0%,After 12 months of marriage,Verbal,Mental,Both indoors and outdoors,Love Marriage,Wife previously divorced,0-1 year,Wife involved in adultery,Fully dissatisfied,Both are incapable,Fully dissatisfied,Yes,0
suburban,Dhaka,40,Employed,Graduate,Single family,married with children,0,5001-10000,51-75%,Between 2nd to 6th month of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Both involved in adultery,Partially satisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Chittagong,27,Employed,Graduate,Single family,married with children,1,5001-10000,31-50%,After 12 months of marriage,Verbal,"Mental, verbal",In the house,Love Marriage,Husband previously divorced,1-3 years,Wife involved in adultery,Fully dissatisfied,Wife is not capable,Partially satisfied,Yes,0
urban,Comilla,43,Businessman,High school,Joint family (with in-laws),married without children,0,25001-50000,1-10%,After 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Wife previously divorced,3-5 years,Both involved in adultery,Partially satisfied,Wife is not capable,Fully dissatisfied,Yes,0
suburban,Rajshahi,30,Businessman,High school,Joint family (with in-laws),married with children,1,25001-50000,51-75%,After 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Wife previously divorced,More than 10 years,Husband involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,No,0
urban,Chittagong,26,Employed,High school,Single family,married without children,1,15001-25000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Both involved in adultery,Dissatisfied,Wife is not capable,Fully dissatisfied,Yes,0
rural,Chittagong,43,Employed,Postgraduate,Joint family (with in-laws),married with children,1,0,0%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Wife previously divorced,More than 10 years,Husband involved in adultery,Partially dissatisfied,Both are capable,Partially satisfied,Yes,1
urban,Dhaka,45,Businessman,Graduate,Single family,married without children,0,25001-50000,100%,After 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Wife is not capable,Fully dissatisfied,Yes,0
suburban,Khulna,36,Businessman,Graduate,Joint family (without in-laws),married without children,1,5001-10000,0%,Within 6 months to 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Fully satisfied,Husband is not capable,Partially dissatisfied,Yes,0
urban,Dhaka,42,Employed,Graduate,Joint family (with in-laws),married with children,1,5001-10000,100%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal",In the house,Arranged Marriage,Both previously divorced,More than 10 years,Neither spouse is involved in adultery,Partially dissatisfied,Wife is not capable,Fully satisfied,Yes,0
rural,Rangpur,36,Employed,Graduate,Joint family (with in-laws),married with children,1,15001-25000,11-30%,Within the 1st month of marriage,Verbal,"Physical, verbal",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Dissatisfied,Both are incapable,Partially dissatisfied,Yes,0
suburban,Dhaka,27,Businessman,High school,Joint family (with in-laws),married without children,1,25001-50000,31-50%,After 12 months of marriage,"Physical, mental, verbal",Mental,Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,Yes,0
rural,Dhaka,23,Businessman,Graduate,Joint family (with in-laws),married without children,1,25001-50000,1-10%,Between 2nd to 6th month of marriage,Verbal,Verbal,In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Wife is not capable,Fully dissatisfied,Yes,0
rural,Chittagong,36,Employed,Graduate,Single family,married with children,1,25001-50000,31-50%,Between 2nd to 6th month of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Both previously divorced,1-3 years,Wife involved in adultery,Dissatisfied,Husband is not capable,Partially satisfied,Yes,0
suburban,Chittagong,26,Employed,Graduate,Single family,married without children,1,25001-50000,11-30%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Mental, verbal",Both indoors and outdoors,Love Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Partially dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Chittagong,36,Unemployed,Graduate,Joint family (without in-laws),married with children,1,0,0%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Wife previously divorced,1-3 years,Husband involved in adultery,Partially satisfied,Both are incapable,Dissatisfied,No,0
urban,Chittagong,27,Employed,Graduate,Joint family (without in-laws),married without children,1,15001-25000,31-50%,Within the 1st month of marriage,Mental,Verbal,In the house,Love Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Partially satisfied,Both are capable,Fully satisfied,No,0
rural,Rajshahi,20,Businessman,Postgraduate,Joint family (with in-laws),married with children,1,5001-10000,11-30%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Wife previously divorced,1-3 years,Neither spouse is involved in adultery,Satisfied,Husband is not capable,Fully dissatisfied,Yes,0
urban,Dhaka,45,Employed,Postgraduate,Joint family (with in-laws),married with children,1,15001-25000,100%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Satisfied,Wife is not capable,Fully dissatisfied,No,0
rural,Khulna,32,Employed,Graduate,Joint family (with in-laws),married with children,1,15001-25000,51-75%,Within 6 months to 12 months of marriage,Verbal,Mental,In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Barisal,24,Businessman,Graduate,Single family,married with children,1,0,0%,Between 2nd to 6th month of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Both previously divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Husband is not capable,Dissatisfied,Yes,0
urban,Dhaka,38,Businessman,Postgraduate,Joint family (with in-laws),married without children,1,25001-50000,11-30%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Husband is not capable,Dissatisfied,Yes,0
suburban,Rangpur,29,Unemployed,Graduate,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,Mental,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,Yes,0
rural,Mymensingh,24,Businessman,Graduate,Joint family (with in-laws),married without children,0,5001-10000,1-10%,After 12 months of marriage,Mental,Verbal,In the house,Arranged Marriage,Wife previously divorced,3-5 years,Both involved in adultery,Dissatisfied,Both are capable,Dissatisfied,No,1
suburban,Dhaka,33,Employed,Graduate,Single family,married with children,1,0,0%,Between 2nd to 6th month of marriage,"Mental, verbal",Mental,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are incapable,Dissatisfied,Yes,1
rural,Dhaka,43,Unemployed,Postgraduate,Joint family (with in-laws),married without children,1,0,0%,Within the 1st month of marriage,"Mental, verbal","Physical, verbal",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Fully satisfied,Wife is not capable,Dissatisfied,Yes,0
suburban,Mymensingh,26,Employed,Graduate,Joint family (with in-laws),married without children,0,0,0%,Between 2nd to 6th month of marriage,Verbal,"Physical, verbal",Both indoors and outdoors,Love Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,Yes,1
urban,Dhaka,36,Unemployed,Graduate,Joint family (with in-laws),married without children,1,0,0%,Within the 1st month of marriage,Verbal,"Mental, verbal",In the house,Arranged Marriage,Husband previously divorced,1-3 years,Both involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Dhaka,33,Businessman,Postgraduate,Joint family (with in-laws),married with children,1,5001-10000,0%,Between 2nd to 6th month of marriage,Mental,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Fully satisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Comilla,41,Businessman,Graduate,Single family,married with children,0,0,0%,After 12 months of marriage,"Physical, mental, verbal","Mental, verbal",In the house,Love Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Dissatisfied,Yes,0
suburban,Khulna,32,Businessman,Graduate,Joint family (with in-laws),married without children,0,25001-50000,1-10%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,3-5 years,Both involved in adultery,Partially dissatisfied,Both are capable,Partially satisfied,Yes,0
urban,Chittagong,41,Businessman,Postgraduate,Joint family (with in-laws),married with children,1,5001-10000,11-30%,Between 2nd to 6th month of marriage,Verbal,"Mental, verbal",In the house,Love Marriage,Husband previously divorced,0-1 year,Husband involved in adultery,Dissatisfied,Both are capable,Dissatisfied,No,0
urban,Dhaka,45,Employed,Postgraduate,Joint family (with in-laws),married with children,1,15001-25000,1-10%,Within the 1st month of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Wife involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
rural,Dhaka,42,Businessman,Graduate,Joint family (with in-laws),married with children,1,0,0%,Between 2nd to 6th month of marriage,"Physical, mental, verbal",Mental,In the house,Love Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Partially dissatisfied,Both are incapable,Dissatisfied,Yes,1
urban,Dhaka,22,Businessman,Postgraduate,Joint family (with in-laws),married with children,1,25001-50000,11-30%,Within 6 months to 12 months of marriage,"Physical, verbal","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Fully dissatisfied,Both are incapable,Partially dissatisfied,Yes,1
urban,Sylhet,29,Employed,High school,Joint family (with in-laws),married with children,1,5001-10000,51-75%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Husband previously divorced,3-5 years,Husband involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Rangpur,25,Businessman,Postgraduate,Single family,married without children,1,5001-10000,31-50%,After 12 months of marriage,Verbal,Verbal,Outside (in front of everyone),Love Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Fully dissatisfied,Wife is not capable,Dissatisfied,Yes,0
suburban,Dhaka,36,Abroad,Graduate,Joint family (with in-laws),married without children,0,0,0%,After 12 months of marriage,"Physical, mental, verbal",Mental,In the house,Love Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Dhaka,26,Abroad,Graduate,Single family,married with children,1,50000-More,11-30%,Between 2nd to 6th month of marriage,"Physical, mental, verbal",Verbal,In the house,Love Marriage,Wife previously divorced,0-1 year,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Fully dissatisfied,Yes,0
suburban,Khulna,28,Unemployed,Graduate,Joint family (with in-laws),married with children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal",Mental,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Partially dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
suburban,Mymensingh,30,Businessman,Graduate,Joint family (with in-laws),married with children,0,5001-10000,11-30%,Within 6 months to 12 months of marriage,Mental,"Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Wife previously divorced,More than 10 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Partially dissatisfied,No,0
rural,Khulna,42,Employed,High school,Single family,married without children,1,0,0%,After 12 months of marriage,"Mental, verbal","Physical, verbal",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,1
suburban,Khulna,39,Businessman,High school,Single family,married without children,1,5001-10000,31-50%,After 12 months of marriage,Verbal,Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Fully dissatisfied,Husband is not capable,Dissatisfied,Yes,0
urban,Chittagong,36,Employed,High school,Joint family (with in-laws),married with children,1,25001-50000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Partially satisfied,Both are capable,Fully satisfied,Yes,0
urban,Rangpur,36,Employed,Graduate,Joint family (without in-laws),married without children,1,15001-25000,1-10%,Within the 1st month of marriage,Verbal,"Physical, verbal",In the house,Arranged Marriage,Neither spouse is divorced,0-1 year,Both involved in adultery,Satisfied,Wife is not capable,Fully satisfied,Yes,1
suburban,Dhaka,34,Employed,Postgraduate,Joint family (without in-laws),married without children,0,25001-50000,51-75%,After 12 months of marriage,Verbal,Mental,In the house,Love Marriage,Neither spouse is divorced,3-5 years,Both involved in adultery,Partially satisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Rangpur,25,Employed,High school,Joint family (with in-laws),married with children,0,15001-25000,51-75%,Within the 1st month of marriage,Verbal,"Physical, verbal",In the house,Arranged Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,Yes,0
rural,Barisal,35,Unemployed,Postgraduate,Joint family (with in-laws),married with children,1,0,0%,Between 2nd to 6th month of marriage,"Physical, mental, verbal","Physical, mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Fully satisfied,Husband is not capable,Fully dissatisfied,Yes,1
urban,Rajshahi,43,Businessman,Graduate,Joint family (without in-laws),married with children,1,15001-25000,0%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Husband involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,No,0
urban,Rangpur,38,Businessman,Graduate,Joint family (with in-laws),married without children,1,25001-50000,1-10%,Between 2nd to 6th month of marriage,Mental,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Dhaka,33,Unemployed,Postgraduate,Joint family (with in-laws),married with children,1,0,0%,Between 2nd to 6th month of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Husband previously divorced,More than 10 years,Husband involved in adultery,Fully satisfied,Both are capable,Fully dissatisfied,No,0
rural,Rajshahi,45,Unemployed,Graduate,Single family,married with children,1,0,0%,Between 2nd to 6th month of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",Outside (in front of everyone),Arranged Marriage,Husband previously divorced,3-5 years,Wife involved in adultery,Dissatisfied,Husband is not capable,Fully dissatisfied,Yes,0
urban,Mymensingh,42,Student,Postgraduate,Joint family (with in-laws),married with children,1,0,0%,Between 2nd to 6th month of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal",In the house,Love Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Comilla,29,Businessman,High school,Joint family (without in-laws),married without children,1,5001-10000,31-50%,Between 2nd to 6th month of marriage,Mental,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Fully satisfied,Yes,1
urban,Dhaka,23,Employed,High school,Single family,married with children,1,15001-25000,51-75%,Between 2nd to 6th month of marriage,"Physical, mental, verbal",Verbal,Both indoors and outdoors,Love Marriage,Wife previously divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
rural,Chittagong,33,Employed,Postgraduate,Joint family (with in-laws),married without children,0,25001-50000,31-50%,Within 6 months to 12 months of marriage,Mental,"Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Fully dissatisfied,Both are capable,Partially dissatisfied,Yes,0
rural,Rajshahi,29,Employed,Postgraduate,Joint family (without in-laws),married with children,1,15001-25000,31-50%,Within the 1st month of marriage,"Physical, mental, verbal","Mental, verbal",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Husband involved in adultery,Dissatisfied,Husband is not capable,Dissatisfied,Yes,0
suburban,Dhaka,21,Unemployed,Graduate,Joint family (with in-laws),married with children,1,0,0%,After 12 months of marriage,Verbal,"Mental, verbal",Outside (in front of everyone),Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Fully satisfied,Both are incapable,Dissatisfied,Yes,1
suburban,Rangpur,32,Employed,Graduate,Single family,married without children,0,15001-25000,11-30%,Between 2nd to 6th month of marriage,Mental,"Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Partially satisfied,Yes,0
rural,Dhaka,32,Employed,Graduate,Single family,married without children,1,15001-25000,31-50%,Within the 1st month of marriage,"Physical, mental, verbal",Mental,In the house,Arranged Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Wife is not capable,Dissatisfied,Yes,1
suburban,Rangpur,34,Student,Postgraduate,Joint family (with in-laws),married without children,1,25001-50000,100%,After 12 months of marriage,"Mental, verbal","Mental, verbal",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully satisfied,Yes,0
suburban,Dhaka,30,Businessman,High school,Joint family (with in-laws),married without children,1,50000-More,31-50%,After 12 months of marriage,Verbal,"Mental, verbal",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Satisfied,Yes,0
urban,Dhaka,41,Employed,High school,Joint family (with in-laws),married without children,1,25001-50000,11-30%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Wife previously divorced,3-5 years,Both involved in adultery,Dissatisfied,Wife is not capable,Fully dissatisfied,Yes,0
suburban,Sylhet,28,Businessman,Postgraduate,Joint family (without in-laws),married with children,1,15001-25000,11-30%,After 12 months of marriage,Mental,Mental,Both indoors and outdoors,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,Yes,0
rural,Rangpur,34,Employed,Postgraduate,Joint family (with in-laws),married without children,1,5001-10000,31-50%,After 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Love Marriage,Wife previously divorced,3-5 years,Wife involved in adultery,Dissatisfied,Husband is not capable,Fully dissatisfied,No,0
rural,Mymensingh,28,Unemployed,Graduate,Single family,married without children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Partially dissatisfied,Both are capable,Partially dissatisfied,Yes,0
suburban,Dhaka,23,Unemployed,Postgraduate,Single family,married with children,1,0,0%,Within the 1st month of marriage,Verbal,"Physical, mental, verbal",In the house,Arranged Marriage,Husband previously divorced,1-3 years,Both involved in adultery,Dissatisfied,Husband is not capable,Fully dissatisfied,Yes,0
urban,Rajshahi,22,Businessman,Postgraduate,Joint family (without in-laws),married with children,1,5001-10000,31-50%,Within the 1st month of marriage,"Physical, mental, verbal","Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Rajshahi,22,Abroad,High school,Joint family (without in-laws),married without children,1,25001-50000,1-10%,Within 6 months to 12 months of marriage,Mental,"Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,More than 10 years,Husband involved in adultery,Satisfied,Husband is not capable,Fully dissatisfied,Yes,0
rural,Chittagong,24,Abroad,High school,Joint family (with in-laws),married with children,1,25001-50000,100%,Within the 1st month of marriage,Mental,Verbal,In the house,Love Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Satisfied,Wife is not capable,Dissatisfied,Yes,0
suburban,Sylhet,22,Employed,High school,Single family,married without children,1,0,0%,After 12 months of marriage,Verbal,Mental,Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Partially dissatisfied,Yes,0
rural,Dhaka,27,Businessman,High school,Joint family (with in-laws),married without children,0,5001-10000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Fully satisfied,Wife is not capable,Partially satisfied,Yes,0
suburban,Dhaka,38,Employed,Graduate,Joint family (with in-laws),married with children,1,50000-More,31-50%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Husband involved in adultery,Satisfied,Both are capable,Fully satisfied,No,0
urban,Rangpur,42,Employed,Postgraduate,Single family,married with children,1,25001-50000,51-75%,After 12 months of marriage,"Physical, verbal","Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Dissatisfied,No,1
suburban,Comilla,31,Student,High school,Single family,married with children,1,15001-25000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Khulna,35,Employed,High school,Joint family (with in-laws),married without children,1,0,0%,Within 6 months to 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Fully dissatisfied,No,0
suburban,Dhaka,26,Businessman,Graduate,Single family,married without children,1,25001-50000,1-10%,After 12 months of marriage,"Mental, verbal",Verbal,In the house,Arranged Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Husband is not capable,Fully satisfied,Yes,0
suburban,Dhaka,39,Businessman,High school,Joint family (with in-laws),married with children,1,15001-25000,1-10%,Within the 1st month of marriage,Verbal,"Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Partially satisfied,Yes,1
urban,Dhaka,35,Employed,High school,Joint family (without in-laws),married with children,1,15001-25000,51-75%,Between 2nd to 6th month of marriage,"Mental, verbal",Mental,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Both involved in adultery,Dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
urban,Dhaka,32,Unemployed,High school,Single family,married with children,1,0,0%,Within the 1st month of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Both previously divorced,More than 10 years,Neither spouse is involved in adultery,Fully satisfied,Husband is not capable,Dissatisfied,Yes,0
suburban,Dhaka,34,Unemployed,High school,Single family,married with children,1,0,0%,Between 2nd to 6th month of marriage,Verbal,"Physical, mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Partially satisfied,Both are capable,Dissatisfied,Yes,1
urban,Chittagong,45,Businessman,Graduate,Joint family (with in-laws),married with children,1,25001-50000,31-50%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Dhaka,33,Employed,Graduate,Joint family (with in-laws),married with children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal",Both indoors and outdoors,Love Marriage,Neither spouse is divorced,0-1 year,Wife involved in adultery,Dissatisfied,Both are capable,Satisfied,Yes,0
urban,Rangpur,32,Abroad,Graduate,Joint family (with in-laws),married without children,1,25001-50000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal","Physical, verbal",In the house,Arranged Marriage,Husband previously divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Fully dissatisfied,No,0
urban,Chittagong,38,Businessman,High school,Joint family (with in-laws),married with children,1,50000-More,31-50%,Within the 1st month of marriage,Mental,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Both previously divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Partially satisfied,Yes,0
urban,Dhaka,20,Employed,Postgraduate,Joint family (with in-laws),married with children,1,5001-10000,1-10%,Within 6 months to 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Wife previously divorced,More than 10 years,Husband involved in adultery,Partially dissatisfied,Husband is not capable,Fully dissatisfied,Yes,0
urban,Dhaka,21,Businessman,Graduate,Single family,married with children,1,5001-10000,11-30%,Within the 1st month of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are incapable,Fully dissatisfied,Yes,1
urban,Dhaka,27,Abroad,High school,Single family,married without children,1,5001-10000,11-30%,Within 6 months to 12 months of marriage,Verbal,Verbal,In the house,Love Marriage,Wife previously divorced,1-3 years,Neither spouse is involved in adultery,Partially satisfied,Both are capable,Dissatisfied,No,0
rural,Dhaka,45,Unemployed,High school,Single family,married with children,0,0,0%,Within the 1st month of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Partially satisfied,Both are capable,Partially satisfied,Yes,0
